longitude,latitude
8.198585030851903355e+01,1.402343855933905026e+01
8.195532108063115118e+01,1.400452738787446094e+01
8.198614846727805627e+01,1.397169232960306218e+01
8.198175114540799768e+01,1.400522965706291423e+01
8.194953226160103554e+01,1.402848246540620281e+01
8.196115721834715373e+01,1.398902093017411730e+01
8.198212656259275377e+01,1.401134123901908701e+01
8.194028115335541429e+01,1.400610391264610399e+01
8.194842687908945322e+01,1.401169942178158401e+01
8.196588336949861286e+01,1.399091054702679315e+01
8.199375375182783898e+01,1.400722941025181534e+01
8.196301615072592028e+01,1.399721627410655422e+01
8.198839422849923153e+01,1.398615928463337355e+01
8.197487627454538028e+01,1.399625269250386594e+01
8.197206650730055344e+01,1.398999181576475337e+01
8.195866379073353869e+01,1.395859692094959037e+01
8.199387757693476431e+01,1.396508412564861779e+01
8.197631451272222591e+01,1.399218703967533095e+01
8.193534076300454672e+01,1.402763845937036535e+01
8.198802358264474321e+01,1.400938794888286942e+01
8.196687892294454514e+01,1.400716759921176013e+01
8.196417035777524518e+01,1.401917736411133930e+01
8.199831107286047427e+01,1.403366213980555877e+01
8.194197467555808601e+01,1.402994585687150320e+01
8.194915325255824712e+01,1.398917290349048592e+01
8.193918544959851147e+01,1.400935678757370439e+01
8.195493193907346097e+01,1.400941938848896307e+01
8.197695851932326150e+01,1.402735090738393886e+01
8.197973965247008721e+01,1.397546288315635010e+01
8.194056611246894306e+01,1.398628462990187948e+01
8.194583977689822518e+01,1.403074335845730225e+01
8.193601128669639877e+01,1.404024138897722906e+01
8.195386417363762632e+01,1.400423970177488364e+01
8.195169516957464850e+01,1.398220874041246908e+01
8.196827330724553917e+01,1.401468213857329204e+01
8.198359318905691850e+01,1.399253583885835184e+01
8.195439831638081785e+01,1.402415740853910009e+01
8.196221870488577110e+01,1.397717985060547363e+01
8.195320474507371955e+01,1.399049338991403424e+01
8.197462002484715526e+01,1.400456903247973983e+01
8.195290072986037444e+01,1.399396044199985489e+01
8.195131687468375503e+01,1.403700260752221673e+01
8.196746593496136768e+01,1.401173167506348172e+01
8.197521221761431320e+01,1.399027911170740168e+01
8.198100317222180422e+01,1.402730136545799056e+01
8.195825141099713562e+01,1.399584212510866976e+01
8.196756143715235510e+01,1.403280646783550978e+01
8.195481994068019560e+01,1.399016737429916191e+01
8.197533986280461704e+01,1.396226832663379369e+01
8.194293867463410663e+01,1.402066779610567693e+01
8.194978146910028727e+01,1.398785455005388201e+01
8.194920118446448498e+01,1.399444564457003892e+01
8.194401079736410054e+01,1.406656086443737763e+01
8.195023856158017850e+01,1.403895521186707285e+01
8.198902152324812675e+01,1.396483371264890394e+01
8.194711683392515056e+01,1.403874080298038862e+01
8.195600013538485484e+01,1.402153745043304056e+01
8.200362492768901745e+01,1.400243495142335348e+01
8.198809062786507695e+01,1.400124558563177679e+01
8.195468639745014627e+01,1.402299231058518991e+01
8.199131952964896186e+01,1.397611591627728167e+01
8.197307142644665134e+01,1.399583994237393902e+01
8.194708314713841446e+01,1.403016758449115642e+01
8.196819015712961232e+01,1.399756732969182593e+01
8.194932933411622855e+01,1.399803943030669373e+01
8.194268051703573974e+01,1.403401497339105042e+01
8.195740343671891992e+01,1.403866100413700480e+01
8.199511956116464262e+01,1.400079151125153665e+01
8.197155520858467526e+01,1.401453628439028343e+01
8.194902853090536610e+01,1.402801573120594902e+01
8.198922143530984386e+01,1.400613250409904609e+01
8.192783821598193583e+01,1.404510353236355691e+01
8.195231819846088683e+01,1.401707390123691788e+01
8.197283498501010968e+01,1.402849576965505740e+01
8.195488663156511677e+01,1.407205365234644745e+01
8.200043922191986212e+01,1.399547977703448964e+01
8.197175399307249677e+01,1.401520137674172339e+01
8.196419182441999851e+01,1.398233829989143118e+01
8.195100608677977050e+01,1.397105019417896976e+01
8.193999772374529300e+01,1.404974128975456793e+01
8.196186247978263850e+01,1.401023669789122827e+01
8.197094095785949719e+01,1.401561916128492236e+01
8.196698286808762646e+01,1.401585052479097726e+01
8.197087286560383745e+01,1.401340189285163973e+01
8.197482049751860700e+01,1.400884314520190088e+01
8.196181266934044629e+01,1.401855483588989770e+01
8.194627638357349042e+01,1.399699082459459554e+01
8.196471132513981672e+01,1.401219114962210277e+01
8.194327607697061921e+01,1.397137519277732665e+01
8.199773636435222102e+01,1.400953556688449986e+01
8.193561734982864664e+01,1.395622219022719790e+01
8.197330217711248679e+01,1.398693932302391651e+01
8.197020904008333275e+01,1.400888941693113665e+01
8.199816070196881412e+01,1.403882580764087429e+01
8.199665049617573231e+01,1.396086664805772770e+01
8.196361750652147293e+01,1.398172000335840970e+01
8.195422694272481579e+01,1.403924905039104765e+01
8.198658786868286086e+01,1.398255908919088952e+01
8.195150392611989787e+01,1.404242390612392377e+01
8.196806146492930623e+01,1.399244978066588807e+01
8.194846261410542354e+01,1.401111523458236086e+01
8.198884223069885024e+01,1.403441699815838462e+01
8.193887875517660291e+01,1.403031335813659908e+01
8.194590564118503551e+01,1.404135846288498968e+01
8.193477199095515573e+01,1.403771439802461707e+01
8.195465492656850870e+01,1.399521894816851209e+01
8.195425614494644151e+01,1.399966846781118157e+01
8.195716399285642240e+01,1.399253603683068015e+01
8.200151564847452335e+01,1.396125285455227250e+01
8.199224894110571427e+01,1.401748212627334134e+01
8.195423914886934824e+01,1.400727776915654132e+01
8.197729792018131434e+01,1.399230237800625076e+01
8.195701968208693700e+01,1.400558387915162939e+01
8.195068818570506153e+01,1.401419311205586915e+01
8.197331132916724528e+01,1.399192889368036319e+01
8.198609574088460761e+01,1.398386219477359660e+01
8.196031945171854716e+01,1.400815616686148068e+01
8.197696874813890133e+01,1.400789463716804484e+01
8.195929491101330200e+01,1.400287227982994587e+01
8.196928775610528817e+01,1.398128461297847913e+01
8.199260438327846146e+01,1.402769950430866608e+01
8.195977995440642871e+01,1.401552771525430074e+01
8.199916595799177799e+01,1.398931014186017130e+01
8.196206615601171563e+01,1.401534752362950975e+01
8.196776081165459971e+01,1.400361877714186143e+01
8.197166174008017947e+01,1.401585937741787546e+01
8.193595754098694783e+01,1.402305276249025745e+01
8.195714009493768515e+01,1.397145531451027622e+01
8.196357327802994064e+01,1.400317917549000235e+01
8.194839311643993085e+01,1.401115553691853322e+01
8.199543210343395572e+01,1.398730456575967374e+01
8.199435292956418664e+01,1.400323421120400624e+01
8.196072008939046327e+01,1.400871751339654203e+01
8.197268787372985344e+01,1.401857864329104331e+01
8.195933913541395555e+01,1.400095210296120207e+01
8.194035063024965382e+01,1.401336046517462464e+01
8.196463856891239175e+01,1.399474622236628285e+01
8.196535511848236411e+01,1.404257244741854294e+01
8.195620441273693757e+01,1.402972498435453552e+01
8.195697437523135420e+01,1.403700172818897229e+01
8.193770425438148663e+01,1.403631766890222998e+01
